source	id	year	type	title	authors	venue	cluster	query
arxiv	1808.02919	2018	preprint	Characterizing Co-located Datacenter Workloads: An Alibaba Case Study	Yue Cheng; Zheng Chai; Ali Anwar		arxiv	cluster trace characterization workload
arxiv	1901.05758	2019	preprint	Analysis of Large-Scale Multi-Tenant GPU Clusters for DNN Training Workloads	Myeongjae Jeon; Shivaram Venkataraman; Amar Phanishayee; Junjie Qian; Wencong Xiao; Fan Yang		arxiv	cluster trace characterization workload
arxiv	2008.07793	2020	preprint	Utility-based Resource Allocation and Pricing for Serverless Computing	Vipul Gupta; Soham Phade; Thomas Courtade; Kannan Ramchandran		arxiv	serverless resource allocation
arxiv	2111.03382	2021	preprint	Discerning Legitimate Failures From False Alerts: A Study of Chromium's Continuous Integration	Guillaume Haben; Sarra Habchi; Mike Papadakis; Maxime Cordy; Yves Le Traon		arxiv	continuous integration build resources cost
arxiv	2110.12090	2021	preprint	Towards Demystifying Intra-Function Parallelism in Serverless Computing	Michael Kiener; Mohak Chadha; Michael Gerndt		arxiv	serverless resource allocation
arxiv	2105.14845	2021	preprint	With Great Freedom Comes Great Opportunity: Rethinking Resource Allocation for Serverless Functions	Muhammad Bilal; Marco Canini; Rodrigo Fonseca; Rodrigo Rodrigues		arxiv	serverless resource allocation
arxiv	2107.08594	2021	preprint	Optimal Resource Allocation for Serverless Queries	Anish Pimpley; Shuo Li; Anubha Srivastava; Vishal Rohra; Yi Zhu; Soundararajan Srinivasan; Alekh Jindal; Hiren Patel; Shi Qiao; Rathijit Sen		arxiv	serverless resource allocation
arxiv	2209.02551	2022	preprint	Graph-PHPA: Graph-based Proactive Horizontal Pod Autoscaling for Microservices using LSTM-GNN	Hoa X. Nguyen; Shaoshu Zhu; Mingming Liu		arxiv	microservice resource prediction autoscaling
arxiv	2201.10036	2022	preprint	Carbon Explorer: A Holistic Approach for Designing Carbon Aware Datacenters	Bilge Acun; Benjamin Lee; Fiodar Kazhamiaka; Kiwan Maeng; Manoj Chakkaravarthy; Udit Gupta; David Brooks; Carole-Jean Wu		arxiv	carbon aware scheduling datacenter
arxiv	2205.11582	2022	preprint	Scalable Infrastructure for Workload Characterization of Cluster Traces	Thomas van Loo; Anshul Jindal; Shajulin Benedict; Mohak Chadha; Michael Gerndt		arxiv	cluster trace characterization workload
arxiv	2208.09519	2022	preprint	Resource Allocation in Serverless Query Processing	Simon Kassing; Ingo Müller; Gustavo Alonso		arxiv	serverless resource allocation
arxiv	2308.06053	2023	preprint	Cost-effective On-device Continual Learning over Memory Hierarchy with Miro	Xinyue Ma; Suyeon Jeong; Minjia Zhang; Di Wang; Jonghyun Choi; Myeongjae Jeon		arxiv	continuous integration build resources cost
arxiv	2308.13129	2023	preprint	Accelerating Continuous Integration with Parallel Batch Testing	Emad Fallahzadeh; Amir Hossein Bavand; Peter C. Rigby		arxiv	continuous integration build resources cost
arxiv	2311.11630	2023	preprint	A smart building semantic platform to enable data re-use in energy analytics applications: the Data Clearing House	Daniel Hugo; John McCulloch; Akram Hameed; Will Borghei; Martin Grimeland; Verity Felstead; Mark Goldsworthy		arxiv	continuous integration build resources cost
arxiv	2312.10127	2023	preprint	How Does It Function? Characterizing Long-term Trends in Production Serverless Workloads	Artjom Joosen; Ahmed Hassan; Martin Asenov; Rajkarn Singh; Luke Darlow; Jianfeng Wang; Adam Barker		arxiv	cluster trace characterization workload
arxiv	2401.01025	2023	preprint	Dependency-aware Resource Allocation for Serverless Functions at the Edge	Luciano Baresi; Giovanni Quattrocchi; Inacio Ticongolo		arxiv	serverless resource allocation
arxiv	2412.17484	2024	preprint	Power- and Fragmentation-aware Online Scheduling for GPU Datacenters	Francesco Lettich; Emanuele Carlini; Franco Maria Nardini; Raffaele Perego; Salvatore Trani		arxiv	Kubernetes scheduling simulator
arxiv	2501.14753	2024	preprint	ABACUS: A FinOps Service for Cloud Cost Optimization	Saurabh Deochake		arxiv	FinOps cloud cost optimization engineering
arxiv	2410.15087	2024	preprint	The Sunk Carbon Fallacy: Rethinking Carbon Footprint Metrics for Effective Carbon-Aware Scheduling	Noman Bashir; Varun Gohil; Anagha Belavadi; Mohammad Shahrad; David Irwin; Elsa Olivetti; Christina Delimitrou		arxiv	carbon aware scheduling datacenter
arxiv	2407.02390	2024	preprint	Uncertainty-Aware Decarbonization for Datacenters	Amy Li; Sihang Liu; Yi Ding		arxiv	carbon aware scheduling datacenter
arxiv	2410.11875	2024	preprint	A Framework for SLO, Carbon, and Wastewater-Aware Sustainable FaaS Cloud Platform Management	Sirui Qi; Hayden Moore; Ninad Hogade; Dejan Milojicic; Cullen Bash; Sudeep Pasricha		arxiv	carbon aware scheduling datacenter
